id,species,scientific_name,observed_on,latitude,longitude,user,quality_grade,url
345641902,,Hirundo rustica,2021-07-01,27.0772183279,88.512875028,nakulpradhan,needs_id,https://www.inaturalist.org/observations/345641902
345508368,Asian Barred Owlet,Glaucidium cuculoides,2025-02-12,27.0771374268,88.5129075497,nakulpradhan,research,https://www.inaturalist.org/observations/345508368
345506351,Eurasian Tree Sparrow,Passer montanus,2025-07-30,27.0770956329,88.5129598528,nakulpradhan,research,https://www.inaturalist.org/observations/345506351
345506258,Blue-throated Barbet,Psilopogon asiaticus,2025-08-03,27.0771368298,88.5129692405,nakulpradhan,research,https://www.inaturalist.org/observations/345506258
345505298,Common Green-Magpie,Cissa chinensis,2025-08-12,27.0771078725,88.5129672289,nakulpradhan,research,https://www.inaturalist.org/observations/345505298
345504764,Lesser Yellownape,Picus chlorolophus,2025-09-05,27.0770568242,88.5129806399,nakulpradhan,research,https://www.inaturalist.org/observations/345504764
345504125,Oriental Turtle-Dove,Streptopelia orientalis,2025-09-20,27.077246688,88.5128502175,nakulpradhan,research,https://www.inaturalist.org/observations/345504125
345504064,Fulvous-breasted Woodpecker,Dendrocopos macei,2025-09-20,27.0771010064,88.5128917918,nakulpradhan,needs_id,https://www.inaturalist.org/observations/345504064
345504042,Verditer Flycatcher,Eumyias thalassinus,2025-09-20,27.0771413077,88.5128679872,nakulpradhan,research,https://www.inaturalist.org/observations/345504042
345503910,Red-vented Bulbul,Pycnonotus cafer,2025-09-20,27.0771508606,88.5128183663,nakulpradhan,research,https://www.inaturalist.org/observations/345503910
345500261,Indian Peafowl,Pavo cristatus,2025-10-05,27.0716485562,88.5248645023,nakulpradhan,research,https://www.inaturalist.org/observations/345500261
345499588,White-crested Laughingthrush,Garrulax leucolophus,2025-10-05,27.0716485562,88.5248645023,nakulpradhan,research,https://www.inaturalist.org/observations/345499588
345499385,Lesser Necklaced Laughingthrush,Garrulax monileger,2025-10-05,27.0716485562,88.5248645023,nakulpradhan,research,https://www.inaturalist.org/observations/345499385
345499371,Blyth's Leaf Warbler,Phylloscopus reguloides,2025-11-02,27.0770893638,88.5129155964,nakulpradhan,needs_id,https://www.inaturalist.org/observations/345499371
345497497,Eurasian Tree Sparrow,Passer montanus,2026-03-07,27.0771433974,88.5128649697,nakulpradhan,research,https://www.inaturalist.org/observations/345497497
345497136,Lesser Yellownape,Picus chlorolophus,2026-03-09,27.0771595179,88.5128368065,nakulpradhan,research,https://www.inaturalist.org/observations/345497136
345496435,Oriental Magpie-Robin,Copsychus saularis,2026-03-11,27.0771490694,88.5129045323,nakulpradhan,research,https://www.inaturalist.org/observations/345496435
345496403,Common Myna,Acridotheres tristis,2026-03-11,27.0771433974,88.5129021853,nakulpradhan,research,https://www.inaturalist.org/observations/345496403
345496223,Himalayan Bulbul,Pycnonotus leucogenys,2026-03-11,27.0771210078,88.5129300132,nakulpradhan,research,https://www.inaturalist.org/observations/345496223
